CellName_Condition,TonicInput,OutputExponent,RF_left_1,RF_left_2,RF_left_3,RF_left_4,RF_left_5,RF_left_6,RF_right_1,RF_right_2,RF_right_3,RF_right_4,RF_right_5,RF_right_6
model_of_cell_rr161114_darkbar_off.mat,0.13069606,0.627173169,0.279055988,0.450358477,0.420256038,0.264571483,0.088876138,-0.003058622,0.063249026,0.141688818,0.230491771,0.245584467,0.165649102,0.079183825
model_of_cell_rr161114_darkbar_on.mat,0.465625898,0.823123112,-0.062836462,-0.01736772,-0.020841805,-0.018143873,0.040983751,0.051454646,0.102814176,-0.000759024,0.010182128,0.020663698,0.053682779,0.070977074
model_of_cell_rr170117_darkbar_on.mat,0.002707885,0.371322658,-0.00256497,0.000173523,0.019832496,0.000792364,-0.001830096,-0.002702938,0.000565707,0.025143783,0.195603612,0.029954381,0.000235518,4.84E-05
model_of_cell_rr170213_brightbar_on.mat,0.001241404,0.172458253,-0.001017804,-0.001166607,-0.001127702,-0.001206217,-0.001157468,-0.00120743,0.003121246,0.006696478,0.054111867,0.090391773,0.035432778,0.002089346
model_of_cell_rr170213_darkbar_off.mat,0.096422721,0.551931396,-0.025047655,-0.054866262,0.003040121,0.029823425,-0.009726688,-0.018458361,0.105370245,0.1674999,0.327110438,0.351696611,0.266477695,0.062945763
model_of_cell_rr170213_darkbar_on.mat,0.008666083,0.133947931,-0.006595245,-0.000661272,-0.008234521,-0.005482571,-0.002284864,-0.008244558,-0.000328726,-0.000151766,0.011960579,0.005638653,0.012111443,0.001795011
model_of_cell_rr170403_brightbar_on.mat,0.151083071,0.693689095,0.329648695,0.385485164,0.397983438,0.327152744,0.247879064,0.116752413,0.043352175,0.155803884,0.144946614,0.232182137,0.169846413,0.13755769
model_of_cell_rr170606_brightbar_on.mat,0.069256594,0.432606475,0.279324482,0.487590667,0.592087584,0.46431058,0.333781956,0.115603804,0.005993316,0.026536294,0.105380738,0.175677335,0.090380129,0.067779866
model_of_cell_rr170606_darkbar_off.mat,0.455371696,1.715595351,0.214663635,0.278215934,0.377563383,0.312957558,0.267008915,0.11919863,0.070165173,0.032765241,0.102302659,0.109936464,0.027762911,0.008574661
model_of_cell_rr170606_darkbar_on.mat,0.0317345,0.322970241,0.045587082,0.20048012,0.219630489,0.099440083,0.0357924,0.029026674,0.088611509,0.039548849,0.132721853,0.23068908,0.129022743,0.045841812
model_of_cell_rr170628_brightbar_on.mat,0.577487527,0.765219504,0.053026239,0.078420903,0.146913251,0.089598634,0.029387021,0.026492211,0.01387706,0.071968299,0.106653073,0.113894436,0.093759105,0.037298026
model_of_cell_rr170628_darkbar_off.mat,0.555571674,0.634801723,0.075095438,0.122213713,0.147182646,0.158676382,0.087554307,0.053287837,-0.019179394,0.015943141,0.01680629,0.040662724,0.004067694,-0.037575806
model_of_cell_rr170628_darkbar_on.mat,0.704096033,0.555830549,-0.020227472,-0.069070022,-0.06490207,-0.050717775,-0.03897887,-0.032922414,-0.09936273,-0.074202135,-0.064078337,-0.005474022,0.027628099,0.01929192
model_of_cell_rr170723_darkbar_on.mat,0.069247211,1.550927709,0.035925014,0.216634939,0.611879716,0.299320317,-0.044398753,-0.0164967,-0.059207861,0.114106082,0.174823166,0.02421235,-0.042223757,0.019085034
model_of_cell_rr171019_brightbar_on.mat,7.62E-05,0.39585767,0.015081,0.010428101,0.023110108,-0.000522967,0.01521424,0.009135566,0.000405324,0.002939545,0.007059309,-0.015154883,-0.010504519,-0.009214161
model_of_cell_rr171019_darkbar_on.mat,0.572813871,2.054353804,-0.037301681,-0.088639929,-0.149069746,-0.166509369,-0.17847927,-0.072979242,-0.164493387,0.063211953,0.172382879,-0.04344547,-0.211227932,-0.246120248
model_of_cellrr170117_darkbar_on.mat,0.002707885,0.371322658,-0.00256497,0.000173523,0.019832496,0.000792364,-0.001830096,-0.002702938,0.000565707,0.025143783,0.195603612,0.029954381,0.000235518,4.84E-05
